udi,product_id,product_variant,air_temperature_k,process_temperature_k,temp_difference_k,rotational_speed_rpm,torque_nm,power_kw,tool_wear_min,overstrain_index,machine_failure,operational_status,failure_type,twf,hdf,pwf,osf,rnf
28,H29441,High Variant (H),299.10,309.40,10.30,1811,24.60,4.665,77,1894.20,0,Healthy,No Failure,0,0,0,0,0
29,L47208,Low Variant (L),299.10,309.40,10.30,1439,44.20,6.661,82,3624.40,0,Healthy,No Failure,0,0,0,0,0
30,L47209,Low Variant (L),299.00,309.40,10.40,1693,30.10,5.336,84,2528.40,0,Healthy,No Failure,0,0,0,0,0
31,M14890,Medium Variant (M),299.10,309.50,10.40,1339,48.20,6.759,86,4145.20,0,Healthy,No Failure,0,0,0,0,0
32,L47211,Low Variant (L),299.00,309.40,10.40,1798,25.50,4.801,89,2269.50,0,Healthy,No Failure,0,0,0,0,0
33,L47212,Low Variant (L),299.00,309.40,10.40,1419,48.30,7.177,91,4395.30,0,Healthy,No Failure,0,0,0,0,0
34,L47213,Low Variant (L),298.90,309.30,10.40,1665,32.50,5.667,93,3022.50,0,Healthy,No Failure,0,0,0,0,0
35,M14894,Medium Variant (M),298.80,309.10,10.30,1559,34.70,5.665,95,3296.50,0,Healthy,No Failure,0,0,0,0,0
36,M14895,Medium Variant (M),298.80,309.20,10.40,1452,48.60,7.390,98,4762.80,0,Healthy,No Failure,0,0,0,0,0
37,M14896,Medium Variant (M),298.90,309.20,10.30,1581,36.70,6.076,101,3706.70,0,Healthy,No Failure,0,0,0,0,0
38,L47217,Low Variant (L),298.80,309.10,10.30,1439,39.20,5.907,104,4076.80,0,Healthy,No Failure,0,0,0,0,0
39,H29452,High Variant (H),298.90,309.20,10.30,1379,50.70,7.322,106,5374.20,0,Healthy,No Failure,0,0,0,0,0
40,L47219,Low Variant (L),298.80,309.10,10.30,1350,52.50,7.422,111,5827.50,0,Healthy,No Failure,0,0,0,0,0
41,L47220,Low Variant (L),298.80,309.10,10.30,1362,45.40,6.475,113,5130.20,0,Healthy,No Failure,0,0,0,0,0
42,L47221,Low Variant (L),298.80,309.10,10.30,1368,50.80,7.277,115,5842.00,0,Healthy,No Failure,0,0,0,0,0
43,M14902,Medium Variant (M),298.80,309.10,10.30,1368,49.10,7.034,117,5744.70,0,Healthy,No Failure,0,0,0,0,0
44,H29457,High Variant (H),298.80,309.20,10.40,1372,48.50,6.968,120,5820.00,0,Healthy,No Failure,0,0,0,0,0
45,M14904,Medium Variant (M),298.80,309.10,10.30,1472,47.50,7.322,125,5937.50,0,Healthy,No Failure,0,0,0,0,0
46,L47225,Low Variant (L),298.80,309.10,10.30,1489,49.10,7.656,128,6284.80,0,Healthy,No Failure,0,0,0,0,0
47,M14906,Medium Variant (M),298.70,309.00,10.30,1843,25.80,4.979,130,3354.00,0,Healthy,No Failure,0,0,0,0,0
48,L47227,Low Variant (L),298.80,309.10,10.30,1418,46.30,6.875,133,6157.90,0,Healthy,No Failure,0,0,0,0,0
49,H29462,High Variant (H),298.80,309.20,10.40,1425,53.90,8.043,135,7276.50,0,Healthy,No Failure,0,0,0,0,0
50,M14909,Medium Variant (M),298.90,309.20,10.30,1412,44.10,6.521,140,6174.00,0,Healthy,No Failure,0,0,0,0,0
51,L47230,Low Variant (L),298.90,309.10,10.20,2861,4.60,1.378,143,657.80,1,Failed,Power Failure,0,0,1,0,0
52,L47231,Low Variant (L),298.90,309.10,10.20,1383,54.90,7.951,145,7960.50,0,Healthy,No Failure,0,0,0,0,0
53,H29466,High Variant (H),298.80,309.00,10.20,1497,43.80,6.866,147,6438.60,0,Healthy,No Failure,0,0,0,0,0
54,L47233,Low Variant (L),298.70,309.00,10.30,1565,35.10,5.752,152,5335.20,0,Healthy,No Failure,0,0,0,0,0
55,L47234,Low Variant (L),298.70,309.00,10.30,1691,30.10,5.330,154,4635.40,0,Healthy,No Failure,0,0,0,0,0
56,L47235,Low Variant (L),298.80,309.10,10.30,1512,40.70,6.444,156,6349.20,0,Healthy,No Failure,0,0,0,0,0
57,L47236,Low Variant (L),298.80,309.10,10.30,1477,42.40,6.558,158,6699.20,0,Healthy,No Failure,0,0,0,0,0
58,L47237,Low Variant (L),298.80,309.10,10.30,1513,40.30,6.385,160,6448.00,0,Healthy,No Failure,0,0,0,0,0
59,M14918,Medium Variant (M),298.80,309.00,10.20,1661,29.50,5.131,162,4779.00,0,Healthy,No Failure,0,0,0,0,0
60,L47239,Low Variant (L),298.80,309.10,10.30,1378,54.40,7.850,165,8976.00,0,Healthy,No Failure,0,0,0,0,0
61,L47240,Low Variant (L),298.80,309.10,10.30,1393,52.60,7.673,167,8784.20,0,Healthy,No Failure,0,0,0,0,0
62,M14921,Medium Variant (M),298.80,309.00,10.20,1592,38.20,6.368,169,6455.80,0,Healthy,No Failure,0,0,0,0,0
63,L47242,Low Variant (L),298.80,309.00,10.20,1829,22.90,4.386,172,3938.80,0,Healthy,No Failure,0,0,0,0,0
64,M14923,Medium Variant (M),298.90,309.00,10.10,1812,25.90,4.915,174,4506.60,0,Healthy,No Failure,0,0,0,0,0
65,L47244,Low Variant (L),299.00,309.10,10.10,1523,38.60,6.156,177,6832.20,0,Healthy,No Failure,0,0,0,0,0
66,L47245,Low Variant (L),299.00,309.10,10.10,1394,45.10,6.584,179,8072.90,0,Healthy,No Failure,0,0,0,0,0
67,M14926,Medium Variant (M),298.90,308.90,10.00,1679,28.70,5.046,181,5194.70,0,Healthy,No Failure,0,0,0,0,0
68,H29481,High Variant (H),298.80,308.90,10.10,1466,44.10,6.770,184,8114.40,0,Healthy,No Failure,0,0,0,0,0
69,L47248,Low Variant (L),298.80,308.90,10.10,1527,32.40,5.181,189,6123.60,0,Healthy,No Failure,0,0,0,0,0
70,L47249,Low Variant (L),298.90,309.00,10.10,1410,65.70,9.701,191,12548.70,1,Failed,"Power Failure, Overstrain",0,0,1,1,0
71,M14930,Medium Variant (M),298.90,309.00,10.10,1924,22.60,4.553,193,4361.80,0,Healthy,No Failure,0,0,0,0,0
72,L47251,Low Variant (L),298.90,309.10,10.20,1452,45.50,6.918,196,8918.00,0,Healthy,No Failure,0,0,0,0,0
73,L47252,Low Variant (L),298.90,309.10,10.20,1369,44.40,6.365,198,8791.20,0,Healthy,No Failure,0,0,0,0,0
74,L47253,Low Variant (L),299.00,309.10,10.10,1592,35.00,5.835,200,7000.00,0,Healthy,No Failure,0,0,0,0,0
75,L47254,Low Variant (L),298.90,309.00,10.10,1601,32.30,5.415,202,6524.60,0,Healthy,No Failure,0,0,0,0,0
76,L47255,Low Variant (L),298.80,308.90,10.10,1379,46.70,6.744,204,9526.80,0,Healthy,No Failure,0,0,0,0,0
77,L47256,Low Variant (L),298.80,308.90,10.10,1461,47.90,7.328,206,9867.40,0,Healthy,No Failure,0,0,0,0,0
78,L47257,Low Variant (L),298.80,308.90,10.10,1455,41.30,6.293,208,8590.40,1,Failed,Tool Wear,1,0,0,0,0
79,L47258,Low Variant (L),298.80,308.90,10.10,1398,51.50,7.540,0,0.00,0,Healthy,No Failure,0,0,0,0,0
80,L47259,Low Variant (L),298.80,308.90,10.10,1402,37.90,5.564,2,75.80,0,Healthy,No Failure,0,0,0,0,0
81,H29494,High Variant (H),298.80,308.80,10.00,1445,49.90,7.551,4,199.60,0,Healthy,No Failure,0,0,0,0,0
82,L47261,Low Variant (L),298.90,308.90,10.00,1450,47.50,7.213,9,427.50,0,Healthy,No Failure,0,0,0,0,0
83,L47262,Low Variant (L),298.90,308.90,10.00,1453,40.80,6.208,11,448.80,0,Healthy,No Failure,0,0,0,0,0
84,L47263,Low Variant (L),299.00,309.00,10.00,1469,40.10,6.169,13,521.30,0,Healthy,No Failure,0,0,0,0,0
85,L47264,Low Variant (L),298.90,308.90,10.00,1422,47.60,7.088,15,714.00,0,Healthy,No Failure,0,0,0,0,0
86,M14945,Medium Variant (M),299.00,309.00,10.00,1804,26.80,5.063,17,455.60,0,Healthy,No Failure,0,0,0,0,0
87,H29500,High Variant (H),299.00,309.00,10.00,1436,43.90,6.602,20,878.00,0,Healthy,No Failure,0,0,0,0,0
88,L47267,Low Variant (L),299.00,309.00,10.00,1544,31.80,5.142,25,795.00,0,Healthy,No Failure,0,0,0,0,0
89,M14948,Medium Variant (M),299.00,309.00,10.00,1419,45.20,6.717,27,1220.40,0,Healthy,No Failure,0,0,0,0,0
90,M14949,Medium Variant (M),298.90,308.90,10.00,1487,39.50,6.151,30,1185.00,0,Healthy,No Failure,0,0,0,0,0
91,L47270,Low Variant (L),298.90,308.90,10.00,1753,25.80,4.736,33,851.40,0,Healthy,No Failure,0,0,0,0,0
92,L47271,Low Variant (L),298.90,308.90,10.00,1830,24.90,4.772,35,871.50,0,Healthy,No Failure,0,0,0,0,0
93,M14952,Medium Variant (M),298.90,308.90,10.00,1727,27.10,4.901,37,1002.70,0,Healthy,No Failure,0,0,0,0,0
94,L47273,Low Variant (L),299.10,309.00,9.90,1450,43.00,6.529,40,1720.00,0,Healthy,No Failure,0,0,0,0,0
95,L47274,Low Variant (L),299.00,308.90,9.90,1622,31.90,5.418,42,1339.80,0,Healthy,No Failure,0,0,0,0,0
96,M14955,Medium Variant (M),299.00,309.00,10.00,1351,52.20,7.385,44,2296.80,0,Healthy,No Failure,0,0,0,0,0
97,M14956,Medium Variant (M),299.00,309.00,10.00,1575,35.30,5.822,47,1659.10,0,Healthy,No Failure,0,0,0,0,0
98,M14957,Medium Variant (M),298.90,308.90,10.00,1750,29.90,5.479,50,1495.00,0,Healthy,No Failure,0,0,0,0,0
99,L47278,Low Variant (L),298.90,308.80,9.90,1529,32.70,5.236,53,1733.10,0,Healthy,No Failure,0,0,0,0,0
100,L47279,Low Variant (L),298.80,308.80,10.00,1523,44.40,7.081,55,2442.00,0,Healthy,No Failure,0,0,0,0,0
101,L47280,Low Variant (L),298.80,308.90,10.10,1852,25.00,4.849,57,1425.00,0,Healthy,No Failure,0,0,0,0,0
102,L47281,Low Variant (L),298.80,308.80,10.00,1991,20.70,4.316,59,1221.30,0,Healthy,No Failure,0,0,0,0,0
103,L47282,Low Variant (L),298.80,308.80,10.00,1555,40.60,6.611,61,2476.60,0,Healthy,No Failure,0,0,0,0,0
104,M14963,Medium Variant (M),298.80,308.80,10.00,1441,40.50,6.111,63,2551.50,0,Healthy,No Failure,0,0,0,0,0
105,L47284,Low Variant (L),298.80,308.70,9.90,1450,43.40,6.590,66,2864.40,0,Healthy,No Failure,0,0,0,0,0
106,L47285,Low Variant (L),298.80,308.70,9.90,1591,31.10,5.182,68,2114.80,0,Healthy,No Failure,0,0,0,0,0
107,L47286,Low Variant (L),298.80,308.70,9.90,1445,48.50,7.339,70,3395.00,0,Healthy,No Failure,0,0,0,0,0
108,M14967,Medium Variant (M),298.80,308.80,10.00,1497,46.80,7.337,72,3369.60,0,Healthy,No Failure,0,0,0,0,0
109,H29522,High Variant (H),298.90,308.80,9.90,1621,32.70,5.551,75,2452.50,0,Healthy,No Failure,0,0,0,0,0
110,L47289,Low Variant (L),298.90,308.70,9.80,1572,34.10,5.614,80,2728.00,0,Healthy,No Failure,0,0,0,0,0
111,L47290,Low Variant (L),298.80,308.60,9.80,1872,22.50,4.411,82,1845.00,0,Healthy,No Failure,0,0,0,0,0
112,H29525,High Variant (H),298.70,308.60,9.90,1499,43.50,6.828,84,3654.00,0,Healthy,No Failure,0,0,0,0,0
113,M14972,Medium Variant (M),298.80,308.70,9.90,1498,39.50,6.196,89,3515.50,0,Healthy,No Failure,0,0,0,0,0
114,M14973,Medium Variant (M),298.80,308.60,9.80,1486,41.90,6.520,92,3854.80,0,Healthy,No Failure,0,0,0,0,0
115,L47294,Low Variant (L),298.80,308.60,9.80,1680,29.40,5.172,95,2793.00,0,Healthy,No Failure,0,0,0,0,0
116,L47295,Low Variant (L),298.80,308.60,9.80,1431,45.70,6.848,97,4432.90,0,Healthy,No Failure,0,0,0,0,0
117,L47296,Low Variant (L),298.90,308.70,9.80,1564,34.10,5.585,99,3375.90,0,Healthy,No Failure,0,0,0,0,0
118,L47297,Low Variant (L),298.80,308.60,9.80,1599,33.00,5.526,101,3333.00,0,Healthy,No Failure,0,0,0,0,0
119,M14978,Medium Variant (M),298.80,308.60,9.80,1707,28.10,5.023,103,2894.30,0,Healthy,No Failure,0,0,0,0,0
120,L47299,Low Variant (L),298.70,308.50,9.80,1467,40.70,6.252,106,4314.20,0,Healthy,No Failure,0,0,0,0,0
121,L47300,Low Variant (L),298.90,308.70,9.80,1433,44.70,6.708,108,4827.60,0,Healthy,No Failure,0,0,0,0,0
122,L47301,Low Variant (L),298.90,308.70,9.80,1558,41.20,6.722,110,4532.00,0,Healthy,No Failure,0,0,0,0,0
123,L47302,Low Variant (L),299.00,308.80,9.80,1310,50.70,6.955,112,5678.40,0,Healthy,No Failure,0,0,0,0,0
124,L47303,Low Variant (L),298.90,308.70,9.80,1546,43.40,7.026,114,4947.60,0,Healthy,No Failure,0,0,0,0,0
125,L47304,Low Variant (L),298.90,308.70,9.80,1727,29.40,5.317,116,3410.40,0,Healthy,No Failure,0,0,0,0,0
126,L47305,Low Variant (L),298.90,308.60,9.70,1560,32.20,5.260,118,3799.60,0,Healthy,No Failure,0,0,0,0,0
127,L47306,Low Variant (L),299.00,308.60,9.60,1329,60.50,8.420,120,7260.00,0,Healthy,No Failure,0,0,0,0,0
128,L47307,Low Variant (L),298.90,308.60,9.70,1413,46.50,6.881,122,5673.00,0,Healthy,No Failure,0,0,0,0,0
129,L47308,Low Variant (L),299.00,308.60,9.60,1587,38.60,6.415,124,4786.40,0,Healthy,No Failure,0,0,0,0,0
130,L47309,Low Variant (L),298.90,308.50,9.60,1559,34.30,5.600,126,4321.80,0,Healthy,No Failure,0,0,0,0,0
131,L47310,Low Variant (L),298.80,308.40,9.60,1473,41.10,6.340,128,5260.80,0,Healthy,No Failure,0,0,0,0,0
132,L47311,Low Variant (L),298.80,308.40,9.60,1737,27.70,5.039,130,3601.00,0,Healthy,No Failure,0,0,0,0,0
133,M14992,Medium Variant (M),298.70,308.40,9.70,1441,43.20,6.519,132,5702.40,0,Healthy,No Failure,0,0,0,0,0
134,M14993,Medium Variant (M),298.70,308.40,9.70,1430,49.60,7.428,135,6696.00,0,Healthy,No Failure,0,0,0,0,0
135,L47314,Low Variant (L),298.80,308.40,9.60,1369,53.00,7.598,138,7314.00,0,Healthy,No Failure,0,0,0,0,0
136,M14995,Medium Variant (M),298.80,308.50,9.70,1711,28.50,5.107,140,3990.00,0,Healthy,No Failure,0,0,0,0,0
137,H29550,High Variant (H),298.70,308.50,9.80,1420,45.70,6.796,143,6535.10,0,Healthy,No Failure,0,0,0,0,0
138,L47317,Low Variant (L),298.70,308.60,9.90,1297,55.30,7.511,148,8184.40,0,Healthy,No Failure,0,0,0,0,0
139,H29552,High Variant (H),298.80,308.60,9.80,1449,49.40,7.496,150,7410.00,0,Healthy,No Failure,0,0,0,0,0
140,L47319,Low Variant (L),298.80,308.60,9.80,1268,55.80,7.409,155,8649.00,0,Healthy,No Failure,0,0,0,0,0
141,L47320,Low Variant (L),298.80,308.60,9.80,1511,36.10,5.712,157,5667.70,0,Healthy,No Failure,0,0,0,0,0
142,L47321,Low Variant (L),298.70,308.50,9.80,1544,35.20,5.691,159,5596.80,0,Healthy,No Failure,0,0,0,0,0
143,M15002,Medium Variant (M),298.60,308.40,9.80,1778,28.20,5.251,161,4540.20,0,Healthy,No Failure,0,0,0,0,0
144,H29557,High Variant (H),298.60,308.40,9.80,1407,50.50,7.441,164,8282.00,0,Healthy,No Failure,0,0,0,0,0
145,M15004,Medium Variant (M),298.60,308.40,9.80,1391,42.40,6.176,169,7165.60,0,Healthy,No Failure,0,0,0,0,0
146,L47325,Low Variant (L),298.50,308.40,9.90,1513,33.60,5.324,172,5779.20,0,Healthy,No Failure,0,0,0,0,0
147,H29560,High Variant (H),298.50,308.40,9.90,1612,36.10,6.094,174,6281.40,0,Healthy,No Failure,0,0,0,0,0
148,L47327,Low Variant (L),298.40,308.40,10.00,1515,40.10,6.362,179,7177.90,0,Healthy,No Failure,0,0,0,0,0
149,M15008,Medium Variant (M),298.30,308.30,10.00,1379,48.00,6.932,181,8688.00,0,Healthy,No Failure,0,0,0,0,0
150,L47329,Low Variant (L),298.40,308.30,9.90,1473,39.90,6.155,184,7341.60,0,Healthy,No Failure,0,0,0,0,0
151,L47330,Low Variant (L),298.40,308.30,9.90,1422,42.70,6.359,186,7942.20,0,Healthy,No Failure,0,0,0,0,0
152,M15011,Medium Variant (M),298.40,308.20,9.80,1463,37.60,5.761,188,7068.80,0,Healthy,No Failure,0,0,0,0,0
153,M15012,Medium Variant (M),298.40,308.20,9.80,1584,41.00,6.801,191,7831.00,0,Healthy,No Failure,0,0,0,0,0
154,L47333,Low Variant (L),298.40,308.20,9.80,1850,27.00,5.231,194,5238.00,0,Healthy,No Failure,0,0,0,0,0
155,L47334,Low Variant (L),298.40,308.20,9.80,1528,36.20,5.792,196,7095.20,0,Healthy,No Failure,0,0,0,0,0
156,H29569,High Variant (H),298.40,308.20,9.80,1987,19.80,4.120,198,3920.40,0,Healthy,No Failure,0,0,0,0,0
157,M15016,Medium Variant (M),298.40,308.10,9.70,1495,46.00,7.202,203,9338.00,0,Healthy,No Failure,0,0,0,0,0
158,H29571,High Variant (H),298.40,308.20,9.80,1478,43.50,6.733,206,8961.00,0,Healthy,No Failure,0,0,0,0,0
159,M15018,Medium Variant (M),298.40,308.20,9.80,1499,40.00,6.279,211,8440.00,0,Healthy,No Failure,0,0,0,0,0
160,L47339,Low Variant (L),298.40,308.20,9.80,1471,47.00,7.240,214,10058.00,0,Healthy,No Failure,0,0,0,0,0
161,L47340,Low Variant (L),298.40,308.20,9.80,1282,60.70,8.149,216,13111.20,1,Failed,Overstrain,0,0,0,1,0
162,L47341,Low Variant (L),298.30,308.10,9.80,1412,52.30,7.733,218,11401.40,1,Failed,Overstrain,0,0,0,1,0
163,L47342,Low Variant (L),298.30,308.10,9.80,1586,35.50,5.896,0,0.00,0,Healthy,No Failure,0,0,0,0,0
164,M15023,Medium Variant (M),298.40,308.20,9.80,1468,43.80,6.733,2,87.60,0,Healthy,No Failure,0,0,0,0,0
165,M15024,Medium Variant (M),298.50,308.30,9.80,1440,43.60,6.575,5,218.00,0,Healthy,No Failure,0,0,0,0,0
166,L47345,Low Variant (L),298.50,308.40,9.90,1733,26.00,4.718,8,208.00,0,Healthy,No Failure,0,0,0,0,0
167,H29580,High Variant (H),298.40,308.20,9.80,1612,32.60,5.503,10,326.00,0,Healthy,No Failure,0,0,0,0,0
168,H29581,High Variant (H),298.40,308.30,9.90,1458,42.90,6.550,15,643.50,0,Healthy,No Failure,0,0,0,0,0
169,L47348,Low Variant (L),298.40,308.30,9.90,1433,62.30,9.349,20,1246.00,1,Failed,Power Failure,0,0,1,0,0
170,L47349,Low Variant (L),298.40,308.30,9.90,1318,59.10,8.157,22,1300.20,0,Healthy,No Failure,0,0,0,0,0
171,M15030,Medium Variant (M),298.40,308.20,9.80,1610,35.00,5.901,24,840.00,0,Healthy,No Failure,0,0,0,0,0
172,L47351,Low Variant (L),298.20,308.10,9.90,1462,50.80,7.777,27,1371.60,0,Healthy,No Failure,0,0,0,0,0
173,M15032,Medium Variant (M),298.10,308.00,9.90,1924,20.80,4.191,29,603.20,0,Healthy,No Failure,0,0,0,0,0
174,M15033,Medium Variant (M),298.20,308.00,9.80,1591,33.70,5.615,32,1078.40,0,Healthy,No Failure,0,0,0,0,0
175,L47354,Low Variant (L),298.20,308.10,9.90,1306,58.30,7.973,35,2040.50,0,Healthy,No Failure,0,0,0,0,0
176,L47355,Low Variant (L),298.20,308.10,9.90,1382,43.50,6.295,37,1609.50,0,Healthy,No Failure,0,0,0,0,0
177,L47356,Low Variant (L),298.20,308.10,9.90,1618,34.70,5.879,39,1353.30,0,Healthy,No Failure,0,0,0,0,0
178,L47357,Low Variant (L),298.20,308.20,10.00,1988,21.40,4.455,41,877.40,0,Healthy,No Failure,0,0,0,0,0
179,L47358,Low Variant (L),298.20,308.20,10.00,1436,50.20,7.549,43,2158.60,0,Healthy,No Failure,0,0,0,0,0
180,L47359,Low Variant (L),298.20,308.30,10.10,1304,49.80,6.800,45,2241.00,0,Healthy,No Failure,0,0,0,0,0
181,L47360,Low Variant (L),298.20,308.30,10.10,1475,49.90,7.708,47,2345.30,0,Healthy,No Failure,0,0,0,0,0
182,H29595,High Variant (H),298.20,308.30,10.10,1824,24.20,4.622,49,1185.80,0,Healthy,No Failure,0,0,0,0,0
183,M15042,Medium Variant (M),298.10,308.20,10.10,1342,48.10,6.760,54,2597.40,0,Healthy,No Failure,0,0,0,0,0
184,L47363,Low Variant (L),298.10,308.20,10.10,1485,40.70,6.329,57,2319.90,0,Healthy,No Failure,0,0,0,0,0
185,L47364,Low Variant (L),298.20,308.20,10.00,1667,30.60,5.342,59,1805.40,0,Healthy,No Failure,0,0,0,0,0
186,L47365,Low Variant (L),298.20,308.20,10.00,1446,38.20,5.784,61,2330.20,0,Healthy,No Failure,0,0,0,0,0
187,L47366,Low Variant (L),298.10,308.30,10.20,1301,56.00,7.629,63,3528.00,0,Healthy,No Failure,0,0,0,0,0
188,L47367,Low Variant (L),298.20,308.40,10.20,1379,43.10,6.224,65,2801.50,0,Healthy,No Failure,0,0,0,0,0
189,L47368,Low Variant (L),298.30,308.50,10.20,1606,33.60,5.651,67,2251.20,0,Healthy,No Failure,0,0,0,0,0
190,M15049,Medium Variant (M),298.30,308.40,10.10,1539,43.40,6.995,69,2994.60,0,Healthy,No Failure,0,0,0,0,0
191,L47370,Low Variant (L),298.20,308.40,10.20,1477,49.90,7.718,72,3592.80,0,Healthy,No Failure,0,0,0,0,0
192,L47371,Low Variant (L),298.20,308.40,10.20,1666,34.60,6.036,74,2560.40,0,Healthy,No Failure,0,0,0,0,0
193,H29606,High Variant (H),298.20,308.40,10.20,1398,51.80,7.583,76,3936.80,0,Healthy,No Failure,0,0,0,0,0
194,H29607,High Variant (H),298.20,308.40,10.20,1678,34.60,6.080,81,2802.60,0,Healthy,No Failure,0,0,0,0,0
195,M15054,Medium Variant (M),298.20,308.50,10.30,2678,10.70,3.001,86,920.20,1,Failed,Power Failure,0,0,1,0,0
196,L47375,Low Variant (L),298.30,308.50,10.20,1453,42.90,6.528,89,3818.10,0,Healthy,No Failure,0,0,0,0,0
197,H29610,High Variant (H),298.30,308.60,10.30,1432,49.50,7.423,91,4504.50,0,Healthy,No Failure,0,0,0,0,0
198,M15057,Medium Variant (M),298.40,308.60,10.20,1527,40.90,6.540,96,3926.40,0,Healthy,No Failure,0,0,0,0,0
199,L47378,Low Variant (L),298.40,308.70,10.30,1588,35.00,5.820,99,3465.00,0,Healthy,No Failure,0,0,0,0,0
200,L47379,Low Variant (L),298.40,308.60,10.20,1433,47.10,7.068,101,4757.10,0,Healthy,No Failure,0,0,0,0,0
201,L47380,Low Variant (L),298.40,308.60,10.20,1609,35.00,5.897,103,3605.00,0,Healthy,No Failure,0,0,0,0,0
202,L47381,Low Variant (L),298.30,308.50,10.20,1575,41.20,6.795,105,4326.00,0,Healthy,No Failure,0,0,0,0,0
203,M15062,Medium Variant (M),298.40,308.50,10.10,1636,35.70,6.116,107,3819.90,0,Healthy,No Failure,0,0,0,0,0
204,L47383,Low Variant (L),298.40,308.50,10.10,1490,37.90,5.914,110,4169.00,0,Healthy,No Failure,0,0,0,0,0
205,L47384,Low Variant (L),298.40,308.50,10.10,1741,32.80,5.980,112,3673.60,0,Healthy,No Failure,0,0,0,0,0
206,M15065,Medium Variant (M),298.50,308.60,10.10,1344,53.00,7.459,114,6042.00,0,Healthy,No Failure,0,0,0,0,0
207,L47386,Low Variant (L),298.50,308.70,10.20,1609,35.30,5.948,117,4130.10,0,Healthy,No Failure,0,0,0,0,0
208,M15067,Medium Variant (M),298.40,308.70,10.30,1421,60.70,9.033,119,7223.30,1,Failed,Power Failure,0,0,1,0,0
